name,start_date,end_date,location,category,link
Jack's Adventures with Salt,Wednesday 17th July 2019 (10:00),Saturday 29th February 2020 (17:00),N/A,"Exhibitions, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/exhibitions/2019/08July-JacksAdventuresWithSalt.aspx
Mini Medical School competition spring 2020,Wednesday 5th February (18:00),Wednesday 25th March 2020 (20:00),Medical School,Medical and Dental Sciences,https://www.birmingham.ac.uk/events/UGNewsletter/Mini-Medical-School-competition.aspx
Lindsay Seers Care(less) VR talk and exhibition,Saturday 15th (00:00),Sunday 23rd February 2020 (00:00),Ikon Gallery 1 Oozells Square Brindley Place B1 2HS,Social Sciences,https://www.birmingham.ac.uk/schools/social-policy/departments/social-work-social-care/events/2020/lindsay-seers.aspx
Victorian Mourning Dress - the BMI Monday lecture,Monday 17th February 2020 (13:00-14:00,N/A,Birmingham & Midland Institute - 9 Margaret Street - Birmingham -  B3 3BS,"Arts and Law, Lectures Talks and Workshops, Research",https://bmi.org.uk/event/monday-lecture-28-october-dr-emma-west-art-for-the-people/
DIYnosaur - Family Fun Day,Tuesday 18th February 2020 (10:00-17:00,N/A,Lapworth Museum of Geology - Earth Sciences Building (R4 on campus map),"Arts and Science Festival, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/activities/2020/18Feb-DIYnosaur.aspx
Family tote bag making @ the Barber Institute of Fine Arts,Tuesday 18th February 2020 (11:00-15:00,N/A,Watson Building Lecture Theatre B,N/A,https://www.birmingham.ac.uk/events/lgbt-history-month/2020/Family-tote-bag-making-the-Barber-Institute-of-Fine-Arts.aspx
Queering the collection in LGBTQ+ History Month - 18 February 11:30,Tuesday 18th February 2020 (11:30-12:00,N/A,Barber Institute of Fine Arts,Exhibitions,https://www.birmingham.ac.uk/events/lgbt-history-month/2020/Queering-the-collection-in-LGBTQ-History-Month-18-February-1130.aspx
Queering the collection in LGBTQ+ History Month - 18 February 13:15,Tuesday 18th February 2020 (13:15-13:45,N/A,N/A,Exhibitions,https://www.birmingham.ac.uk/events/lgbt-history-month/2020/Queering-the-collection-in-LGBTQ-History-Month-18-February-115.aspx
oSTEM Coffee and Discussions on LGBTQ+ Contributions in STEM - 18 February,Tuesday 18th February 2020 (18:00-20:00,N/A,Metallurgy and Materials Building Room 2C28,Students,https://www.birmingham.ac.uk/events/lgbt-history-month/2020/oSTEM-Coffee-and-Discussions-on-LGBTQ-Contributions-in-STEM-18-February.aspx
No Outsiders,Wednesday 19th February 2020 (12:00-13:00,N/A,Edgbaston Campus,"Lectures Talks and Workshops, Students",https://www.birmingham.ac.uk/events/lgbt-history-month/2020/No-Outsiders.aspx
LGBT Allies Induction event for CoSS,Wednesday 19th February 2020 (12:30-14:00,N/A,Watson Building Lecture Theatre B,N/A,https://www.birmingham.ac.uk/events/lgbt-history-month/2020/LGBT-Allies-Induction-event-for-CoSS.aspx
Jurassic Park at the Lapworth,Wednesday 19th February 2020 (19:00-21:30,N/A,Lapworth Museum of Geology - Earth Sciences Building (R4 on campus map),"Arts and Science Festival, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/activities/2020/19Feb-FilmNight.aspx
Teach Rex - Family Fun Day,Thursday 20th February 2020 (10:00-17:00,N/A,Lapworth Museum of Geology - Earth Sciences Building (R4 on campus map),"Arts and Science Festival, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/activities/2020/20Feb-TeachRexFamilyFun.aspx
Rainbow Network and Pink Sou'Westers Networking,Thursday 20th February 2020 (11:30-13:00,N/A,Alan Walters Building 103,N/A,https://www.birmingham.ac.uk/events/lgbt-history-month/2020/Rainbow-Network-and-Pink-Sou'Westers-Networking.aspx
Drag Queen Story Time @ The Barber Institute of Fine Arts,Thursday 20th February 2020 (12:00-13:00,N/A,The Barber Institute of Fine Arts,N/A,https://www.birmingham.ac.uk/events/lgbt-history-month/2020/Drag-Queen-Story-Time-The-Barber-Institute-of-Fine-Arts.aspx
