name,start_date,end_date,location,category,link
History of the University of Birmingham,Friday 7th June 2019 (09:00),Friday 31st January 2020 (18:00),Main Library Atrium,Exhibitions,https://www.birmingham.ac.uk/events/exhibitions/History-of-the-University-of-Birmingham.aspx
Jack's Adventures with Salt,Wednesday 17th July 2019 (10:00),Saturday 29th February 2020 (17:00),N/A,"Exhibitions, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/exhibitions/2019/08July-JacksAdventuresWithSalt.aspx
Mini Medical School competition autumn 2019,Wednesday 2nd October (18:00),Wednesday 13th November 2019 (20:00),Medical School,Medical and Dental Sciences,https://www.birmingham.ac.uk/events/UGNewsletter/Mini-Medical-School-competition.aspx
Executive Programme in Strategic Commissioning (4 day course),Thursday 17th October (00:00),Friday 6th December 2019 (00:00),Edgbaston Campus,"Lectures Talks and Workshops, Social Sciences, Teaching",https://www.birmingham.ac.uk/schools/government/departments/local-government-studies/events/2019/strategic-commissioning.aspx
Comparing Peripheries. Galicia and Carinthia in Medieval Time,Tuesday 12th November 2019 (16:00-17:30,N/A,Arts G13,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-marina-beluso.aspx
"Climate Change: Science, Impacts and Solutions (Years 12 and 13)",Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Climate-Change-Science-Impacts-Solutions.aspx
Making a Murderer (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Making-a-Murderer.aspx
Militaristic and pious? Lead figurines from the Spartan sanctuary of Artemis Orthia.,Wednesday 13th November 2019 (13:00-14:00,N/A,Arts 305,N/A,https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2019/caha-object-1311.aspx
Nurses – how do they assess human health? (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Nurses-how-do-they-assess-human-health.aspx
Sport & Exercise: Just Study It! (Year 11-13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Sport-Exercise-Just-Study-It.aspx
The Economics of Brexit (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/The-Economics-of-Brexit.aspx
Using Maths to Survive the Zombie Apocalypse (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Using-Maths-to-Survive-the-Zombie-Apocalypse.aspx
What Makes Science Fiction? (Year 11 & 12),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/What-Makes-Science-Fiction.aspx
Governing by writing: applying imperial calligraphy in Tang administration,Wednesday 13th November 2019 (14:15-16:00,N/A,Lecture Room 8 - Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/cesma1311.aspx
Manufactured Landscapes Screening and Roundtable,Wednesday 13th November 2019 (16:00-19:00,N/A,Lecture Room 4 - Arts Building,N/A,https://www.eventbrite.co.uk/e/manufactured-landscapes-tickets-78177259287
Institutionalising citizenship in ancient Greece,Thursday 14th November 2019 (14:00-18:00,N/A,"Education Building, Room M35","Arts and Law, Lectures Talks and Workshops, Research, Students",https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2019/institutionalising.aspx
'Working with Shakespeare on stage and screen: Russell Jackson in conversation with Michael Dobson,Thursday 14th November 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts1411.aspx
The Crisis of Kingship in Late Medieval Islam: Persian Emigres and the Making of Ottoman Sovereignty,Thursday 14th November 2019 (15:00-17:00,N/A,muirhead 427,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/chris-markiewicz.aspx
George Orwell and 'The Ministry of Truth': Dorian Lynskey in Conversation,Thursday 14th November 2019 (18:00-19:30,N/A,Arts Building - Lecture Theatre 7,"Arts and Law, Lectures Talks and Workshops, Research",https://www.eventbrite.co.uk/e/george-orwell-and-the-ministry-of-truth-dorian-lynskey-in-conversation-tickets-76637331321
Onyx Brass,Friday 15th November 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-onyx-brass.aspx
BHM2019 - Awards Ceremony,Friday 15th November 2019 (18:00-19:30,N/A,TBC (confirmation will be sent once you register),"Lectures Talks and Workshops, Performance",https://www.birmingham.ac.uk/events/black-history-month/2019/Awards-Ceremony.aspx
Music and the Hanseatic League,Saturday 16th November 2019 (15:00-16:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-hanseatic-league.aspx
Lapworth Lecture - Volcanoes: from fuming vents to extinction events,Monday 18th November 2019 (17:00-18:00,N/A,"Lecture Theatre WG5, Ground Floor, Aston Webb Building (R4)","Lectures Talks and Workshops, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/lectures/2019/18Nov-LapworthLecture.aspx
"Independence as Rupture, Continuity or Transition? Gendering Citizenship and Decolonising Justice in 1960s Ghana",Tuesday 19th November 2019 (16:00-17:30,N/A,Lecture Room 1 - Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-lecture-skinner.aspx
Academic Writing (Year 12 & 13),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Academic-Writing.aspx
